#{"t_start": 1763486929.0351677, "env_id": "CartPole-v1"}
r,l,t
500.0,500,89.140072
500.0,500,89.597076
500.0,500,90.046934
284.0,284,90.342299
476.0,476,90.780711
497.0,497,91.236778
351.0,351,91.548149
255.0,255,91.775903
469.0,469,92.214339
249.0,249,92.430395
500.0,500,92.874943
500.0,500,93.33192
500.0,500,93.798171
500.0,500,94.256422
357.0,357,94.569807
449.0,449,94.975893
362.0,362,95.296325
427.0,427,95.679761
285.0,285,95.932914
500.0,500,96.388983
256.0,256,96.61911
313.0,313,96.893279
500.0,500,97.350621
275.0,275,97.587739
347.0,347,97.909973
255.0,255,98.147901
304.0,304,98.412219
289.0,289,98.666481
262.0,262,98.901705
354.0,354,99.207897
464.0,464,99.644248
283.0,283,99.900896
360.0,360,100.24948
500.0,500,100.697763
308.0,308,100.969909
401.0,401,101.325064
456.0,456,101.73351
420.0,420,102.12972
296.0,296,102.389108
295.0,295,102.648922
425.0,425,103.043026
321.0,321,103.326682
306.0,306,103.596584
396.0,396,103.970291
348.0,348,104.281149
385.0,385,104.626703
489.0,489,105.072109
500.0,500,105.530062
418.0,418,105.905485
500.0,500,106.402302
500.0,500,106.860806
500.0,500,107.314267
354.0,354,107.615943
363.0,363,107.955103
427.0,427,108.31407
408.0,408,108.688094
324.0,324,108.973173
500.0,500,109.428496
500.0,500,109.885133
500.0,500,110.344787
450.0,450,110.748414
477.0,477,111.1713
500.0,500,111.621827
345.0,345,111.923053
376.0,376,112.279823
382.0,382,112.611203
360.0,360,112.929518
500.0,500,113.383758
384.0,384,113.737817
285.0,285,113.998907
355.0,355,114.317196
500.0,500,114.773627
500.0,500,115.238224
338.0,338,115.558794
500.0,500,116.016508
500.0,500,116.504756
432.0,432,116.879628
346.0,346,117.20404
346.0,346,117.498211
430.0,430,117.914688
395.0,395,118.256633
377.0,377,118.612485
405.0,405,118.963364
344.0,344,119.298238
500.0,500,119.7489
406.0,406,120.090441
500.0,500,120.544109
404.0,404,120.924139
472.0,472,121.329571
410.0,410,121.717936
408.0,408,122.107986
500.0,500,122.556545
439.0,439,122.936138
381.0,381,123.311822
375.0,375,123.632339
344.0,344,123.956393
338.0,338,124.24766
500.0,500,124.694207
340.0,340,125.00872
500.0,500,125.480252
500.0,500,125.947179
500.0,500,126.408976
500.0,500,126.874891
500.0,500,127.33716
500.0,500,127.808351
500.0,500,128.275671
500.0,500,128.754119
500.0,500,129.208249
500.0,500,129.668581
500.0,500,130.126971
500.0,500,130.608157
500.0,500,131.083453
500.0,500,131.552594
500.0,500,132.026353
500.0,500,132.497048
500.0,500,132.936806
500.0,500,133.397725
500.0,500,133.849698
500.0,500,134.308484
500.0,500,134.774587
500.0,500,135.249502
457.0,457,135.690377
500.0,500,136.173094
356.0,356,136.51522
284.0,284,136.783195
352.0,352,137.12922
257.0,257,137.368292
500.0,500,137.850833
500.0,500,138.331371
500.0,500,138.797687
