#{"t_start": 1763486504.285047, "env_id": "CartPole-v1"}
r,l,t
48.0,48,13.629999
57.0,57,13.670301
56.0,56,13.70844
47.0,47,13.741888
30.0,30,13.763153
29.0,29,13.809043
25.0,25,13.826876
91.0,91,13.895922
49.0,49,13.931339
97.0,97,14.027105
14.0,14,14.036862
57.0,57,14.075892
62.0,62,14.118765
94.0,94,14.188983
39.0,39,14.245861
47.0,47,14.278507
57.0,57,14.318036
29.0,29,14.338157
71.0,71,14.387372
45.0,45,14.443493
59.0,59,14.484177
36.0,36,14.509089
62.0,62,14.558844
49.0,49,14.593165
30.0,30,14.613654
30.0,30,14.659312
50.0,50,14.694806
40.0,40,14.723199
73.0,73,14.775006
42.0,42,14.804832
99.0,99,14.90516
95.0,95,14.973968
48.0,48,15.007707
26.0,26,15.026099
30.0,30,15.078779
14.0,14,15.088752
38.0,38,15.115673
47.0,47,15.149056
43.0,43,15.179667
34.0,34,15.204167
24.0,24,15.221224
20.0,20,15.235456
57.0,57,15.302337
50.0,50,15.33785
95.0,95,15.40496
12.0,12,15.413571
87.0,87,15.511041
11.0,11,15.518614
28.0,28,15.537792
14.0,14,15.547385
20.0,20,15.561034
30.0,30,15.581828
52.0,52,15.618713
15.0,15,15.629395
42.0,42,15.659184
27.0,27,15.704612
23.0,23,15.721213
45.0,45,15.754662
27.0,27,15.773376
23.0,23,15.789317
27.0,27,15.808001
69.0,69,15.855663
36.0,36,15.905463
71.0,71,15.957571
35.0,35,15.980958
16.0,16,15.992054
36.0,36,16.016643
28.0,28,16.036101
57.0,57,16.075925
26.0,26,16.11867
93.0,93,16.182911
52.0,52,16.218705
30.0,30,16.239485
28.0,28,16.258882
49.0,49,16.317613
32.0,32,16.33896
64.0,64,16.38309
36.0,36,16.408089
29.0,29,16.428137
29.0,29,16.447754
32.0,32,16.469981
42.0,42,16.524372
17.0,17,16.536267
36.0,36,16.561303
101.0,101,16.631743
29.0,29,16.651855
58.0,58,16.715656
24.0,24,16.732346
25.0,25,16.749675
37.0,37,16.775257
24.0,24,16.791898
30.0,30,16.812661
43.0,43,16.842401
99.0,99,16.935939
56.0,56,16.975655
38.0,38,17.002996
46.0,46,17.036061
49.0,49,17.071546
32.0,32,17.095235
27.0,27,17.142486
77.0,77,17.197023
33.0,33,17.220393
38.0,38,17.247299
90.0,90,17.33465
62.0,62,17.376882
71.0,71,17.426296
18.0,18,17.440133
71.0,71,17.489214
50.0,50,17.552823
40.0,40,17.580603
